Permutation Number,Matrix Dimension,Total User Time,User Time in Matrix Multiplication - Perf,Percent User Time in Matrix Multiplication - Perf,Total Cache Misses,Cache Hit Rate,Instructions per Cycle
0,1000,4.127304,4.084792769,98.97,50003085,65.11329595,0.680486822
1,1000,0.481494,0.458623035,95.25,1693939,92.76095898,2.774883134
2,1000,3.823279,3.789251817,99.11,7296375,76.7653102,0.732677853
3,1000,19.371355,19.30936666,99.68,99587852,76.5584154,0.185460532
4,1000,0.580219,0.556894196,95.98,1714044,96.64616608,2.346448533
5,1000,19.471616,19.41904264,99.73,98545524,78.28214814,0.184233685
0,2000,83.797283,83.49561278,99.64,975550823,81.66681833,0.271262425
1,2000,7.55606,7.410228042,98.07,235122080,62.69788534,1.46828686
2,2000,78.994665,78.71028421,99.64,733209440,81.55190978,0.287088967
3,2000,237.047663,236.5261581,99.78,1026362215,95.74752143,0.118975472
4,2000,8.344157,8.209816072,98.39,236208866,67.19211923,1.321611782
5,2000,237.565727,237.0430824,99.78,1016636118,95.76634888,0.118663938
0,3000,353.979322,353.0589758,99.74,3406442842,91.56467245,0.21339419
1,3000,27.269006,26.88178611,98.58,658574721,65.19747324,1.364210667
2,3000,354.509926,353.4818472,99.71,3420513247,91.29114211,0.213173713
3,3000,972.29989,969.8691403,99.75,3464710399,96.51811029,0.098111297
4,3000,29.348896,28.93507657,98.59,743406326,67.41108462,1.270651157
5,3000,971.284182,968.9531,99.76,3445454946,96.53137429,0.0984344
0,4000,946.909147,943.6896559,99.66,8099995684,92.32142427,0.189313379
1,4000,64.531175,63.79551961,98.86,1548014334,65.35670262,1.368247405
2,4000,943.25998,940.3358741,99.69,8105829782,92.32533271,0.190085352
3,4000,2181.133587,2174.372073,99.69,8473112377,96.26521289,0.103559244
4,4000,69.364196,68.62893552,98.94,1759179605,67.46756849,1.273403394
5,4000,2184.290579,2178.829853,99.75,8227249723,96.36447917,0.103566071
0,5000,1882.470913,1872.493817,99.47,15805184527,92.44333987,0.186074568
1,5000,126.107424,124.8463498,99,3024792611,65.37893208,1.368537426
2,5000,1877.469338,1871.085942,99.66,15811806751,92.42785943,0.18663391
3,5000,4684.001348,4669.480944,99.69,16318814005,96.45438641,0.09465023
4,5000,137.673556,136.3381225,99.03,3439604363,67.45148675,1.256262595
5,5000,4489.03461,4473.322989,99.65,15827355828,96.55649398,0.092192753