Permutation Number,Matrix Dimension,Total Time Python,Total Time Perf,Total User Time,Total System Time,Total Cache References,Total Cache Misses,Total Cache Hits,Cache Miss Rate,Cache Hit Rate,Total Instructions,Total Cycles,Instructions per Cycle,Percent User Time in Matrix Multiplication - Perf,User Time in Matrix Multiplication - Perf,Percent Time in Read Matrix - Perf,Percent time in Write Matrix - Perf,Percent Time in Main - Perf,Percent Time in Matrix Multiplication - GProf,Time in Matrix Multiplication - Gprof,Percent Time in Read Matrix - Gprof,Percent time in Write Matrix - Gprof
0,1000,4.302553864,4.177251853,4.127304,0.041942,143329920,50003085,93326835,34.88670405,65.11329595,8129064018,11945953619,0.680486822,98.97,4.084792769,0.05,0.05,99.07,99.89,4.14,0.24,0
1,1000,0.649631714,0.524229511,0.481494,0.033823,23400047,1693939,21706108,7.239041016,92.76095898,4098631329,1477046467,2.774883134,95.25,0.458623035,0.35,0.32,95.92,100.14,0.47,0,0
2,1000,3.994681528,3.868015368,3.823279,0.039971,31402937,7296375,24106562,23.2346898,76.7653102,8128672942,11094470661,0.732677853,99.11,3.789251817,0.03,0.03,99.17,99.87,3.83,0.26,0
3,1000,19.58166614,19.45478574,19.371355,0.045972,424834130,99587852,325246278,23.4415846,76.5584154,10326054252,55677906895,0.185460532,99.68,19.30936666,0.01,0.01,99.7,100.03,19.41,0.05,0.05
4,1000,0.757481996,0.630142979,0.580219,0.032842,51107003,1714044,49392959,3.353833916,96.64616608,4103085470,1748636466,2.346448533,95.98,0.556894196,0.37,0.2,96.55,98.41,0.57,1.73,0
5,1000,19.65601036,19.52897993,19.471616,0.040971,453753551,98545524,355208027,21.71785186,78.28214814,10318807002,56009339316,0.184233685,99.73,19.41904264,0.01,0.01,99.75,100.14,19.51,0,0
0,2000,84.14509625,84.01862666,83.797283,0.155885,5321230326,975550823,4345679503,18.33318167,81.66681833,65328080790,2.41E+11,0.271262425,99.64,83.49561278,0.01,0.01,99.66,100.06,83.97,0.05,0.02
1,2000,7.89299191,7.765880457,7.55606,0.16678,630318367,235122080,395196287,37.30211466,62.69788534,32493035914,22129896271,1.46828686,98.07,7.410228042,0.08,0.08,98.23,99.61,7.58,0.39,0.13
2,2000,79.37216588,79.24074513,78.994665,0.192877,3974446304,733209440,3241236864,18.44809022,81.55190978,65284352735,2.27E+11,0.287088967,99.64,78.71028421,0.01,0.01,99.66,100.09,79.19,0.04,0.01
3,2000,237.5671722,237.4436848,237.047663,0.240845,24135623431,1026362215,23109261216,4.252478574,95.74752143,81514505977,6.85E+11,0.118975472,99.78,236.5261581,0,0,99.78,100.12,237.61,0.01,0
4,2000,8.635831624,8.51066348,8.344157,0.152801,719975995,236208866,483767129,32.80788077,67.19211923,32445863652,24550222755,1.321611782,98.39,8.209816072,0.08,0.07,98.54,99.78,8.36,0.24,0.12
5,2000,238.0407092,237.9176483,237.565727,0.203873,24013223781,1016636118,22996587663,4.233651122,95.76634888,81485330147,6.87E+11,0.118663938,99.78,237.0430824,0,0,99.78,100.12,238.08,0.01,0
0,3000,354.8515194,354.727914,353.979322,0.512664,40383053560,3406442842,36976610718,8.435327549,91.56467245,2.18E+11,1.02E+12,0.21339419,99.74,353.0589758,0,0,99.74,100.1,354.86,0.02,0.01
1,3000,27.83398356,27.71008103,27.269006,0.417663,1892318697,658574721,1233743976,34.80252676,65.19747324,1.09E+11,79936194064,1.364210667,98.58,26.88178611,0.05,0.03,98.66,99.7,27.39,0.29,0.15
2,3000,355.4012882,355.2768237,354.509926,0.536659,39276255187,3420513247,35855741940,8.708857886,91.29114211,2.19E+11,1.03E+12,0.213173713,99.71,353.4818472,0,0,99.71,100.1,355.4,0.02,0.01
3,3000,974.1038952,973.9086556,972.29989,0.744486,99506609606,3464710399,96041899207,3.481889708,96.51811029,2.76E+11,2.81E+12,0.098111297,99.75,969.8691403,0,0,99.75,100.12,974.71,0.01,0
4,3000,30.01958254,29.81482162,29.348896,0.418371,2281163142,743406326,1537756816,32.58891538,67.41108462,1.09E+11,85853115014,1.270651157,98.59,28.93507657,0.05,0.02,98.66,99.76,29.51,0.27,0.1
5,3000,973.3834925,972.9866406,971.284182,0.672289,99331990202,3445454946,95886535256,3.468625706,96.53137429,2.76E+11,2.80E+12,0.0984344,99.76,968.9531,0,0,99.76,100.13,973.99,0.01,0
0,4000,948.9086738,948.7022557,946.909147,1.164456,1.05E+11,8099995684,97388261077,7.678575732,92.32142427,5.18E+11,2.74E+12,0.189313379,99.66,943.6896559,0,0,99.66,100.06,293.14,0.05,0.02
1,4000,65.47655509,65.35379409,64.531175,0.769394,4468438200,1548014334,2920423866,34.64329738,65.35670262,2.58E+11,1.89E+11,1.368247405,98.86,63.79551961,0.04,0.03,98.93,99.8,64.83,0.22,0.12
2,4000,945.138085,945.0134024,943.25998,1.209308,1.06E+11,8105829782,97512166094,7.67466729,92.32533271,5.19E+11,2.73E+12,0.190085352,99.69,940.3358741,0,0,99.69,100.06,289.44,0.05,0.02
3,4000,2184.704779,2184.315102,2181.133587,1.867106,2.27E+11,8473112377,2.18E+11,3.734787106,96.26521289,6.53E+11,6.31E+12,0.103559244,99.69,2174.372073,0,0,99.69,100.11,874.15,0.01,0.01
4,4000,70.36159064,70.2175305,69.364196,0.79637,5407464255,1759179605,3648284650,32.53243151,67.46756849,2.58E+11,2.03E+11,1.273403394,98.94,68.62893552,0.04,0.02,99,99.86,69.72,0.2,0.07
5,4000,2187.927838,2187.804045,2184.290579,2.140714,2.26E+11,8227249723,2.18E+11,3.635520832,96.36447917,6.54E+11,6.31E+12,0.103566071,99.75,2178.829853,0,0,99.75,100.05,221.4,0.06,0.02
0,5000,1887.472084,1887.34783,1882.470913,3.641618,2.09E+11,15805184527,1.93E+11,7.556660132,92.44333987,1.01E+12,5.45E+12,0.186074568,99.47,1872.493817,0,0,99.47,100.08,576.5,0.04,0.02
1,5000,127.6017038,127.4771501,126.107424,1.266802,8736855309,3024792611,5712062698,34.62106792,65.37893208,5.03E+11,3.68E+11,1.368537426,99,124.8463498,0.03,0.02,99.05,99.88,126.71,0.17,0.09
2,5000,1882.768411,1882.643288,1877.469338,3.992499,2.09E+11,15811806751,1.93E+11,7.572140572,92.42785943,1.01E+12,5.43E+12,0.18663391,99.66,1871.085942,0,0,99.66,100.08,571.82,0.04,0.02
3,5000,4696.433142,4696.307325,4684.001348,8.880581,4.60E+11,16318814005,4.44E+11,3.545613589,96.45438641,1.28E+12,1.36E+13,0.09465023,99.69,4669.480944,0,0,99.69,100.09,764.28,0.03,0.01
4,5000,139.0725837,138.941535,137.673556,1.163159,10567623587,3439604363,7128019224,32.54851325,67.45148675,5.03E+11,4.01E+11,1.256262595,99.03,136.3381225,0.03,0.01,99.07,99.93,138.28,0.16,0.05
5,5000,4497.721527,4497.597581,4489.03461,5.178128,4.60E+11,15827355828,4.44E+11,3.443506024,96.55649398,1.28E+12,1.39E+13,0.092192753,99.65,4473.322989,0,0,99.65,100.09,565.38,0.04,0.01