Size,Type,Percent_Matrix_Multiply_gprof,User_time_Matrix_Multiply_gprof,Percent_Read_matrix_gprof,Percent_Write_matrix_gprof
1000,0,99.89,4.14,0.24,0
1000,1,100.14,0.47,0,0
1000,2,99.87,3.83,0.26,0
1000,3,100.03,19.41,0.05,0.05
1000,4,98.41,0.57,1.73,0
1000,5,100.14,19.51,0,0
2000,0,100.06,83.97,0.05,0.02
2000,1,99.61,7.58,0.39,0.13
2000,2,100.09,79.19,0.04,0.01
2000,3,100.12,237.61,0.01,0
2000,4,99.78,8.36,0.24,0.12
2000,5,100.12,238.08,0.01,0
3000,0,100.1,354.86,0.02,0.01
3000,1,99.7,27.39,0.29,0.15
3000,2,100.1,355.4,0.02,0.01
3000,3,100.12,974.71,0.01,0
3000,4,99.76,29.51,0.27,0.1
3000,5,100.13,973.99,0.01,0
4000,0,100.06,293.14,0.05,0.02
4000,1,99.8,64.83,0.22,0.12
4000,2,100.06,289.44,0.05,0.02
4000,3,100.11,874.15,0.01,0.01
4000,4,99.86,69.72,0.2,0.07
4000,5,100.05,221.4,0.06,0.02
5000,0,100.08,576.5,0.04,0.02
5000,1,99.88,126.71,0.17,0.09
5000,2,100.08,571.82,0.04,0.02
5000,3,100.09,764.28,0.03,0.01
5000,4,99.93,138.28,0.16,0.05
5000,5,100.09,565.38,0.04,0.01